Code,Name,High,Low,Close,Volume,Change,,
BNS.PR.L,Bns Non-Cum Prf Shrs Se,26,25.37,25.5,6815,0.05,,0.2
BNS.PR.M,Bank of Nova Scotia Non-,26,25.5,25.5,3014,0,,0
BNS.PR.N,Bns Pref Shares Series,26,25.76,25.76,3700,-0.06,,0.23
BNS.PR.O,Bns Pref Shares Series,26,25.95,25.98,4480,0.02,,0.08
BNS.PR.P,Bank of Nova Scotia Non-,25,25.19,25.21,689,-0.01,,0.04
BNS.PR.Q,Bns Pref Shares Series,25,25.38,25.38,1602,0.03,,0.12
BNS.PR.R,Bns Non Cum Pref Series,26,25.7,25.76,1160,0.05,,0.19
BNS.PR.Y,Bank of Nova Scotia 5 Yr,24,23.8,23.84,734,-0.02,,0.08
BNS.PR.Z,Bns Preferred Series 32,24,24.29,24.39,4104,0.12,,0.49
BOS,Airboss America J,10,10.32,10.4,700,0.01,,0.1
BOX.UN,Brookfield Canada Office,27,26.75,26.87,16350,-0.28,,1.03
BOY,Boyuan Construction Grou,1,0.84,0.85,10599,-0.09,,9.57
BOY.DB.A,Boyuan Constr Grp Inc 10 Pct Dbs A,79,77.01,79,10000,2.9,,3.81
BPF.UN,Boston Pizza Royalties I,21,20.9,20.9,19431,0.05,,0.24
BPO.PR.H,Brookfield Office Proper,25.32,25.32,25.32,175,0.03,,0.12
BPO.PR.J,Brookfield Office Proper,25,25.04,25.05,25998,0.01,,0.04
BPO.PR.K,Brookfield Office Proper,25,25.44,25.46,248,-0.04,,0.16
BPO.PR.L,Brookfield Office Proper,25,25,25,366,0.01,,0.04
BPO.PR.N,Brookfield Office Proper,26,25.65,25.73,4170,0.11,,0.43
BPO.PR.P,Brookfield Office Proper,26,25.46,25.5,1860,-0.12,,0.47
BPO.PR.R,Brookfield Office Proper,26,25.65,25.74,4201,0.1,,0.39
BPO.PR.T,Brookfield Office Proper,25,25.07,25.17,12660,-0.13,,0.51
BPO.PR.U,Brookfield Office Proper,25,25.22,25.22,478,0,,0
BPO.PR.W,Brookfield Office Proper,14,14,14.09,1000,-0.01,,0.07
BPO.PR.X,Brookfield Office Proper,14.27,14.27,14.27,225,-0.08,,0.56
BPO.PR.Y,Brookfield Office Properties Pref Ser Y,14.35,14.34,14.35,400,0,,0
BPS.PR.A,Brookfield Property Spli,25,24.95,24.95,1333,0,,0
BPS.PR.B,Brookfield Property Spli,25,24.82,24.85,1404,0.03,,0.12
BPS.PR.C,Brookfield Property Spli,25,25.09,25.09,100,0.24,,0.97
BPS.PR.U,Brookfield Property Spli,24.98,24.92,24.92,2428,0.07,,0.28
BPY.UN,Brookfield Property Part,24.14,23.7,23.9,472766,0.09,,0.38
BQE,Bioteq Environmental Tec,0.04,0.04,0.04,6500,0,,0
BR,Big Rock Brewery Inc.,15.45,15.25,15.4,2434,-0.07,,0.45
BRB,Brick Brewing J,1.25,1.25,1.25,282,-0.01,,0.79
BRE,Brookfield Real Estate S,13.89,13.69,13.69,9454,-0.21,,1.51
BRF.PR.A,Brookfield Renewable Pr,24.12,24.12,24.12,160,0.09,,0.37
BRF.PR.C,Brookfield Renewable Pow,24.85,24.75,24.8,3104,-0.1,,0.4
BRF.PR.E,Brookfield Renewable Pow,21.34,21.2,21.2,14400,-0.15,,0.7
BRF.PR.F,Brookfield Renewable Pow,21.25,21.14,21.2,7390,-0.08,,0.38
BRP,Brookfield Residential P,21.86,21.4,21.42,3450,-0.28,,1.29
BRY,Bri Chem Corp,1.55,1.45,1.49,21997,-0.05,,3.25
BSC,Bns Split Corp. II,21.44,20.99,20.99,950,0.22,,1.06
BSC.PR.B,Bns Split Corp II Pref B Series 1,19.13,19.13,19.13,421,0.02,,0.1
BSD.PR.A,Brookfield Soundvest Spl,9.98,9.97,9.97,2500,-0.01,,0.1
BSD.UN,Brookfield Soundvest Spl,2.6,2.5,2.6,15500,0.25,,10.64
BSE.UN,Brookfield Soundvest Equ,5.05,5.04,5.04,655,-0.21,,4
BSO.UN,Brookfield Select Opport,8.63,8.43,8.55,26075,-0.07,,0.81
BSX,Belo Sun Mining Corp,0.18,0.16,0.16,612160,0,,0
BTB.DB.C,Btb REIT 8.0 Pct Debs,103.5,103.5,103.5,12000,-0.5,,0.47
BTB.DB.D,Btb REIT 7.25 Pct Debs,103.5,103.5,103.5,4000,0.5,,0.48
BTB.DB.E,Btb REIT 6.90 Pct Debs,102.3,102.3,102.3,20000,-0.5,,0.48
BTB.UN,Btb REIT Units,4.83,4.77,4.79,51509,-0.05,,1.03
BTE,Baytex Energy Corp.,41.32,40.35,40.38,653435,-0.44,,1.08
BTO,B2Gold Corp.,2.27,2.2,2.25,4573234,0.05,,2.27
BU,Burcon Nutrascience Corp,3.19,3.01,3.01,7820,-0.2,,6.23
BUA.UN,Bloom US Income and Grow,9.5,9.29,9.5,2100,0.4,,4.4
BUF,Buffalo Coal Corp,0.13,0.13,0.13,32000,0,,0
BUI,Buhler Ind,5.51,5.51,5.51,500,0,,0
BX,Biox Corporation,0.78,0.78,0.78,2000,-0.07,,8.24
BXE,Bellatrix Exploration Lt,6.71,6.54,6.63,2485527,0.01,,0.15
BXF,First Asset 1 To 5 Yr La,10.06,10.06,10.06,5600,-0.05,,0.49
BYD.DB,Boyd Group Income Fund 5,170,170,170,10000,0.5,,0.29
BYD.DB.A,Boyd Group Income Fund 5,100.4,100,100,132000,0,,0
BYD.UN,Boyd Group Income Fund,41.7,40.36,40.8,20431,-0.7,,1.69
BYL,Baylin Technologies Inc,3.49,3.2,3.21,22100,-0.22,,6.41
CAE,Cae Inc,13.93,13.75,13.77,321832,-0.02,,0.15
CAG.UN,Coxe Global Agribusiness,8.6,8.54,8.59,5750,0.13,,1.54
CAH.UN,Canadian High Yield Focu,10.8,10.64,10.64,8500,-0.16,,1.48
CAL,Caledonia Mining Corpora,1.03,1.01,1.01,6004,0,,0
CAM,Canam Group Inc.,10.71,10.56,10.61,57972,0.01,,0.09
CAM.DB,Canam Group Inc 6.25 Pct,106.5,106.1,106.5,45000,0.4,,0.41
CAR.UN,CDN Apartment Un,23.8,23.65,23.66,147278,-0.04,,0.17
CAS,Cascades Inc,6.1,6,6.05,116698,0.03,,0.5
CAX,Candax Energy Inc.,0.02,0.02,0.02,20999,0,,0
CAZ,Caza Oil,0.35,0.34,0.35,53900,0.01,,2.94
CBD,Ishares Balanced Income,21.16,21.09,21.11,1368,-0.01,,0.05
CBD.A,Ishares Balanced Income,20.93,20.93,20.93,825,-0.13,,0.62
CBF,Canbanc 8 Income Corp,10.89,10.82,10.82,200,-0.07,,0.64
CBH,Ishares 1-10 Yr Laddered,19.82,19.8,19.82,4104,0.02,,0.1
CBL,Callidus Capital Corp,23.16,22.1,22.24,18188,-0.29,,1.29
CBN,Ishares Balanced Growth,18.17,18.17,18.17,276,-0.02,,0.11
CBN.A,Ishares Balanced Growth,18.1,18.1,18.1,627,-0.66,,3.52
CBO,Ishares 1-5Yr Laddered C,19.55,19.51,19.55,141005,0.02,,0.1
CBO.A,Ishares 1-5Yr Laddered C,19.55,19.5,19.55,4111,0.03,,0.15
CBQ,Ishares BRIC ETF,24.85,24.55,24.58,14725,0.7,,2.93
