Code,Name,High,Low,Close,Volume,Change,,
EIF.DB.C,Exchange Income Corp 5.7,99.71,99.71,99.71,24000,-0.02,,0.02
EIF.DB.D,Exchange Income Corp 6.2,97,96.51,96.89,73000,0.34,,0.35
EIF.DB.E,Exchange Income Corp 5.5,83.78,83,83.78,37000,-0.01,,0.01
EIF.DB.F,Exchange Income Corp 5.3,80,79,79,87000,-1,,1.25
EIF.DB.G,Exchange Income Corp 6.0,85.6,85.6,85.6,8000,-0.41,,0.48
EIT.UN,Canoe Eit Income Fund Un,12.41,12.31,12.33,74483,-0.04,,0.32
EIT.WT.E,Canoe Eit Income Fund Wt,0.03,0.03,0.03,119996,0,,0
ELA.UN,Excel Latin America Bond,8.64,8.51,8.51,1400,-0.03,,0.35
ELB.UN,Excel Latin America Bond,8.46,8.46,8.46,5569,0,,0
ELD,Eldorado Gold,7.88,7.7,7.83,1093114,0.06,,0.77
ELF,E-L Financial,685,680,680,392,-5,,0.73
ELF.PR.F,E-L Financial Corp. Ltd.,24.25,24.15,24.25,3750,0.1,,0.41
ELF.PR.G,E- L Financial Corp. Lim,21.8,21.8,21.8,500,0,,0
ELF.PR.H,E - L Financial Corp Ltd,24.98,24.92,24.95,990,0.15,,0.6
ELG,Elgin Mining Inc,0.42,0.38,0.4,105000,-0.01,,2.44
ELR,Eastern Platinum Limited,0.95,0.91,0.91,288950,-0.04,,4.21
ELV,Powershares Sp Emg Mkts,19.16,19.12,19.14,705,0.32,,1.7
EMA,Emera Incorporated,35.49,35.2,35.29,305295,0.12,,0.34
EMA.PR.A,Emera Inc Series A Pref,22.54,22.17,22.53,5475,0.37,,1.67
EMA.PR.C,Emera Inc Pref Sh Series,25.45,25.3,25.4,5800,-0.02,,0.08
EMA.PR.E,Emera Inc Pref Series E,22.2,21.98,22.1,1900,-0.1,,0.45
EMA.PR.F,Emera Inc Series F Pref,25.35,25.34,25.35,1750,0.06,,0.24
EMC,EMC Metals Corp.,0.09,0.07,0.08,296633,0.01,,14.29
EMD,Emed Mining Public Ltd,0.12,0.12,0.12,17000,-0.01,,7.69
EMP.A,Empire Company Ltd. Cl.,77.89,76.89,77.47,36485,-0.33,,0.42
EMY.UN,Next Edge Glg Emerg Mkts,7.19,7.17,7.19,600,0.26,,3.75
ENB,Enbridge Inc,52.74,52.16,52.29,958367,-0.21,,0.4
ENB.PF.A,Enbridge Inc Pref Series,25.18,25.1,25.18,2000,0.13,,0.52
ENB.PF.C,Enbridge Inc Pref Series,25.15,25.11,25.14,21975,0.02,,0.08
ENB.PF.E,Enbridge Inc Pref Series,25.17,25.13,25.15,15985,0,,0
ENB.PF.G,Enbridge Inc Pref Series,25.06,25,25.01,9250,0.01,,0.04
ENB.PF.U,Enbridge Inc Preferred S,24.79,24.65,24.65,1045,0,,0
ENB.PF.V,Enbridge Inc Pref Series,24.54,24.5,24.54,3165,-0.01,,0.04
ENB.PR.A,Enbridge Pr,25.25,25.25,25.25,300,0,,0
ENB.PR.B,Enbridge Inc Cum Redeem,24.41,24.32,24.37,8677,0.05,,0.21
ENB.PR.D,Enbridge Inc Pref Ser D,24.15,24.06,24.14,4422,0.04,,0.17
ENB.PR.F,Enbridge Inc Pref Ser F,24.5,24.28,24.48,29823,0.17,,0.7
ENB.PR.H,Enbridge Inc Preferred S,23.1,22.92,22.93,3795,-0.04,,0.17
ENB.PR.J,Enbridge Inc Pref Ser 7,25.17,25.15,25.15,2687,-0.03,,0.12
ENB.PR.N,Enbridge Inc Pref Ser N,24.71,24.65,24.65,6390,-0.01,,0.04
ENB.PR.P,Enbridge Inc Pref Ser P,24.06,24,24.04,3240,0,,0
ENB.PR.T,Enbridge Inc Pref Ser R,24.1,24.04,24.04,2115,-0.01,,0.04
ENB.PR.U,Enbridge Inc Pref Sh Ser,24.84,24.76,24.76,3870,-0.04,,0.16
ENB.PR.V,Enbridge Inc Pref Ser 1,24.59,24.59,24.59,700,-0.01,,0.04
ENB.PR.Y,Enbridge Inc Cum Red Pre,23.49,23.4,23.49,5670,0.08,,0.34
ENF,Enbridge Income Fund Hol,30.15,29.86,30.14,131313,0.28,,0.94
ENI.UN,Energy Income Fund,3.39,3.35,3.37,9463,-0.01,,0.3
ENL,Endo International Plc,79.35,77.66,77.66,250,-1.64,,2.07
ENT,Entrec Corporation,1.27,1.22,1.27,188825,0.01,,0.79
ENT.DB,Entrec Corporation 7 Pct,99.99,99,99,49000,-1,,1
EOM,Eco Oro Minerals Corp,0.25,0.25,0.25,20000,0.01,,4.17
EPS,Epsilon Energy Ltd.,4.37,4.29,4.3,26533,-0.05,,1.15
EPS.DB,Epsilon Energy Ltd 7.75 Pct Conv Debs,118.5,118.5,118.5,109000,0,,0
EQ,Eq Inc,0.16,0.16,0.16,1578,0,,0
EQB,Equitable Group Inc,64,63.6,64,2740,0,,0
EQB.PR.A,Equitable Group Inc Pref,25.01,24.99,24.99,400,0,,0
EQB.PR.C,Equitable Group Inc Pref,26.2,26.15,26.15,5200,-0.05,,0.19
EQI,Equity Financial Holding,9.09,9,9.09,600,-0.04,,0.44
EQU.DB.B,Equal Energy 6.75 Pct De,105,105,105,10000,0.9,,0.85
ER,Eastmain Res J,0.24,0.21,0.24,290400,0.01,,4.35
ERD,Erdene Resource Developm,0.14,0.13,0.14,4000,0,,0
ERF,Enerplus Corporation,19.84,19.16,19.4,734004,-0.35,,1.77
ERM,Eclipse Residential Mort,9,9,9,1000,0.09,,1.01
ESI,Ensign Energy Services I,14.55,14.22,14.37,737789,0.13,,0.91
ESL,Enghouse Systems Ltd.,36.98,35.78,35.95,9261,-0.39,,1.07
ESN,Essential Energy Service,2.38,2.31,2.33,150171,-0.05,,2.1
ESP,Espial Group Inc.,2.43,2.36,2.38,16755,-0.05,,2.06
ET,Evertz Technologies Limi,16.52,16.35,16.35,2235,0.04,,0.25
ETG,Entree Gold Inc.,0.27,0.27,0.27,42500,-0.01,,3.57
ETP,First Trust Global Risk,19.82,19.82,19.82,446,0.06,,0.3
ETP.A,First Trust Glb Risk Man,19.77,19.77,19.77,1100,-0.2,,1
ETX,Etrion Corporation,0.53,0.52,0.52,4100,-0.02,,3.7
EUR,First Trust Alphadex EUR,20.96,20.87,20.87,1881,-0.04,,0.19
EUR.A,First Trust Alphadex EUR,21.73,21.73,21.73,130,0,,0
EVT,Economic Investment,90.56,90,90,1200,-0.6,,0.66
EWP.UN,First Asset Pipes & Powe,10.1,10.01,10.01,8366,0.13,,1.32
EXE,Extendicare Inc,8.36,8.11,8.35,107365,0.14,,1.71
EXE.DB.B,Extendicare Inc 6 Pct De,105,105,105,28000,0.3,,0.24
EXF,Exfo Inc,4.37,4.31,4.34,1950,-0.06,,1.36
EXM,F A Morningstar Emerg Comp Bd I,9.46,9.46,9.46,103,0.05,,0.53
EXN,Excellon Resources Inc.,1.05,1,1.05,19469,0.05,,5
F.UN,Fam Real Estate Investme,7.77,7.69,7.7,7692,-0.07,,0.9
F.WT,Fam Real Estate Investment Trust Wts,0.03,0.03,0.03,24000,0,,0
FAP,Aberdeen Asia-Pacific In,5.05,4.98,5.02,31838,-0.02,,0.4
FAR,Foraco International Sa,0.39,0.33,0.33,4000,0,,0
FAY.U,First Asset Yld Opportun,4.45,4.4,4.4,11799,-0.04,,0.9
FAY.UN,First Asset Yield Opport,12.47,12.36,12.36,1615,-0.14,,1.12
FBS.B,5Banc Split Inc. Capital,24.46,23.98,23.98,293,-0.01,,0.04
FBS.PR.C,5Banc Split Class C Pref Series 1,10.31,10.31,10.31,2000,0.05,,0.49
FC,Firm Capital Mortgage In,12.85,12.6,12.77,33152,0.13,,1.03
FC.DB.A,Firm Capital Mortgage 5.,102.6,102.6,102.6,5000,-0.2,,0.17
FC.DB.B,Firm Capital Mtg Inv Cor,100,100,100,4000,0,,0
FC.DB.C,Firm Capital Mortgage In,101,101,101,12000,1,,1
FC.DB.D,Firm Capital Mortgage In,97,96,97,25000,1,,1.04
FCO,Formation Metals Inc.,0.19,0.17,0.17,10327,-0.01,,5.56
FCR,First Capital Realty Inc,17.67,17.51,17.55,131965,-0.03,,0.17
FCR.DB.D,First Capital Realty 5.7,103,102.5,102.5,15000,-1.3,,1.25
FCR.DB.E,First Capital Realty Inc,102.1,102,102,13000,-0.1,,0.14
FCR.DB.F,First Capital Realty 5.2,102,102,102,19000,0.3,,0.25
FCR.DB.G,First Capital Realty 5.2,101.5,101.5,101.5,12000,0,,0
FCR.DB.H,First Capital Realty Inc,101.8,101.5,101.6,114000,0.1,,0.1
FCR.DB.I,First Capital Realty Inc,99.5,99.5,99.5,90000,0.25,,0.25
FCR.DB.J,First Capital Realty Inc,97.5,97,97,33000,-1.5,,1.52
FCS.PR.B,Faircourt Split Trust 6.,10.07,10.06,10.07,1457,0.01,,0.1
FCS.UN,Faircourt Split Trust,6.4,6.39,6.4,200,0.1,,1.59
FDE,First Trust Alphadex Emg,18.25,18.25,18.25,1600,-0.71,,3.74
FDS.UN,First Trust Global Divid,9.2,9.2,9.2,400,0.05,,0.55
FDV,First Asset Active CDN D,9.78,9.78,9.78,600,0.01,,0.1
FDY,First Trust Alphadex CDN,20.71,20.5,20.5,1915,-0.47,,2.24
FDY.A,First TR Alphadex Canadian Div,20.85,20.74,20.77,1669,-1.11,,5.07
FER,Century Iron Mines Corp,0.41,0.4,0.4,2000,-0.01,,2.44
FFH,Fairfax Financial Holdin,508.3,501.8,504.3,32600,1.8,,0.36
FFH.PR.C,Fairfax Fncl Holdings Lt,24.7,24.65,24.67,5834,-0.01,,0.04
FFH.PR.E,Fairfax Financial Hldngs,19.57,19.36,19.57,6409,0.24,,1.24
FFH.PR.G,Fairfax Financial Hldngs,22.14,22.08,22.08,1139,0.05,,0.23
FFH.PR.I,Fairfax Financial Holdin,24.35,24.2,24.35,3427,0.1,,0.41
FFH.PR.K,Fairfax Financial Holdin,25.39,25.37,25.39,1200,-0.03,,0.12
FFH.U,Fairfax Financial Holdin,453,450,453,300,6,,1.34
FFI.UN,Flaherty & Crumrine Fixe,12.95,12.93,12.95,2755,-0.02,,0.15
FFN,Financial 15 Split Corp,8.16,8.02,8.07,29017,-0.09,,1.1
FFN.PR.A,Financial 15 Split Corp.,10.07,10.04,10.07,1700,0.03,,0.3
FGX,Faircourt Gold Income Co,3.79,3.67,3.69,944,0.05,,1.37
FHB,First Asset Hamilton Cap,10.39,10.35,10.35,14335,0.06,,0.58
FHB.A,First Asset Hamilton Cap,10.25,10.25,10.25,6000,0,,0
FHY,First Trust Short Durati,19.66,19.66,19.66,181,-0.13,,0.66
FIC,Can Financials Income Co,8.79,8.78,8.78,9300,-0.03,,0.34
FIE,Ishares CDN Fin Mthly In,7.42,7.37,7.38,134111,0.02,,0.27
FIE.A,Ishares CDN Fin Mthly In,7.07,7.02,7.02,2632,0,,0
FLI,First Asset US Cda Lifec,10.61,10.52,10.52,16155,-0.13,,1.22
FM,First Quantum Minerals L,21.25,20.79,21.03,1553226,0.18,,0.86
FN,First National Financial,21.95,21.61,21.94,13519,0.37,,1.72
FN.PR.A,First National Financial,15.77,15.73,15.73,1596,-0.04,,0.25
FNI,First Nickel Inc.,0.02,0.02,0.02,75500,0,,0
FNM.UN,First National Mortgage,8.44,8.44,8.44,1011,-0.15,,1.75
FNV,Franco-Nevada Corporatio,53.55,52.3,53.36,290815,0.71,,1.35
FNV.WT.A,Franco-Nevada Corporatio,6.69,6.5,6.5,11849,0,,0
FOR,Fortune Bay Corp,0.29,0.28,0.29,31686,0.01,,3.57
FOS,Phoscan Chemical Corp.,0.28,0.28,0.28,3800,0,,0
FP,Fp Newspapers Inc.,3.95,3.8,3.8,4961,-0.08,,2.06
FPX,First Point Minerals Cor,0.05,0.05,0.05,148598,0,,0
FR,First Majestic Silver Co,8.4,8.13,8.27,298036,-0.02,,0.24
FRC,Canyon Services Group In,12.67,12.1,12.32,401747,-0.28,,2.22
FRF,First Asset Active CDN R,9.69,9.69,9.69,1000,-0.05,,0.51
FRL.UN,Senior Secured Floating,9.46,9.42,9.44,49826,-0.02,,0.21
FRO,Frontier Rare Earths Lim,0.24,0.2,0.24,49000,-0.04,,14.29
FRU,Freehold Royalties Ltd.,23.1,22.51,22.56,243034,-0.2,,0.88
FRX,Fennec Pharmaceuticals I,3.59,3.36,3.39,13353,-0.26,,7.12
FRX.WT,Fennec Pharmaceuticals I,0.01,0.01,0.01,181000,0,,0
FSD.UN,First Trust Adv Sh Dur H,10.8,10.79,10.8,15291,-0.02,,0.18
FSL,First Trust Senior Loan,20.07,20.05,20.07,1989,0.03,,0.15
FSL.A,First Trust Senior Loan ETF Adv,20.15,20.15,20.15,500,0.02,,0.1
FSV,Firstservice Corporation,59.14,58.75,58.87,27086,-0.17,,0.29
FSY,Forsys Metals Corp.,0.29,0.26,0.27,94200,0.01,,3.85
FSZ,Fiera Capital Corp,12.58,12.21,12.39,28129,-0.06,,0.48
FT,Fortune Mnrl J,0.23,0.22,0.22,207443,0,,0
FTG,Firan Technology Group C,0.77,0.73,0.77,8000,0.04,,5.48
FTN,Financial 15 Split Corp,9.68,9.42,9.42,91049,0.04,,0.43
FTN.PR.A,Financial 15 Split Corp,10.05,10.03,10.05,20125,0.02,,0.2
FTN.RT,Financial 15 Split Corp,0.01,0.01,0.01,583125,0,,0
FTP,Fortress Paper Ltd.,2.4,2.2,2.4,6850,0.14,,6.19
FTP.DB,Fortress Paper Ltd 6.5 P,58,57,58,9000,1,,1.75
FTP.DB.A,Fortress Paper Ltd 7 Pct,47,45.18,47,262000,0,,0
FTS,Fortis Inc,35.02,34.6,34.65,586768,-0.38,,1.08
FTS.IR,Fortis Inc Instal Receip,46.51,45.55,45.96,1659000,-1.05,,2.23
FTS.PR.E,Fortis Inc. Ser E,26.04,26.04,26.04,200,-0.02,,0.08
FTS.PR.F,Fortis Inc. Preferred S,23.9,23.75,23.78,4097,-0.12,,0.5
FTS.PR.G,Fortis Inc. First Pref S,24.69,24.6,24.69,3506,0.09,,0.37
FTS.PR.H,Fortis Inc. Pref Series,20.68,20.56,20.62,2450,0.01,,0.05
FTS.PR.J,Fortis Inc Pref Series J,23.52,23.5,23.5,1225,-0.01,,0.04
FTS.PR.K,Fortis Inc Pref Series K,24.88,24.75,24.75,1500,0,,0
FTS.PR.M,Fortis Inc Pref Series M,25.25,25.12,25.12,37510,-0.13,,0.51
FTT,Finning Intl,30.27,29.42,29.49,666930,-0.93,,3.06
FTU,US Financial 15 Split Co,0.25,0.25,0.25,4000,-0.01,,3.85
FTU.PR.B,US Finl 15 Split 2012 Pr,5.9,5.9,5.9,600,0.02,,0.34
FUD,First Trust Alphadex US,24.28,24.28,24.28,120,0.1,,0.41
FUD.A,First Trust Alphadex US,24.04,24.04,24.04,609,0.01,,0.04
FVI,Fortuna Silver Mines Inc,4.34,4.17,4.3,372787,0.12,,2.87
FVL,Freegold Ventures Limite,0.2,0.18,0.2,16400,0.01,,5.26
FXF,First Asset Can-Financia,10.33,10.33,10.33,1100,-0.13,,1.24
FXF.A,First Asset Can-Finl Cvr Call E,10.96,10.96,10.96,3500,0.02,,0.18
FXM,F A Morningstar Cda Valu,14.8,14.71,14.72,17422,-0.04,,0.27
FXM.A,F A Morningstar Cda Valu,14.54,14.54,14.54,20804,-0.33,,2.22
G,Goldcorp Inc,25.87,25.45,25.76,1332384,0.29,,1.14
GBT.A,Bmtc Group Inc. Cl.A S,15.57,15.5,15.5,2200,0,,0
GBU,Gabriel Res J,1.05,0.94,1.05,191191,0.07,,7.14
GBV,Groupe Bikini Village In,0.75,0.74,0.74,3000,-0.07,,8.64
GC,Great Canadian Gaming Co,19.1,18.74,19.05,69546,0.02,,0.11
GCG,Guardian Capital,20.01,19.52,20,810,-0.01,,0.05
GCG.A,Guardian Capital Group L,17.84,17.8,17.82,16291,-0.02,,0.11
GCL,Colabor Group Inc.,4.08,4,4.07,24326,0.03,,0.74
GCL.DB.A,Colabor Group Inc 5.70 C,100.3,100.3,100.3,8000,-0.8,,0.74
GCM,Gran Colombia Gold Corp.,0.88,0.84,0.88,1180,0.03,,3.53
GCM.NT.U,Gran Colombia Gold 5.0 P,30,30,30,5000,-1,,3.23
GCM.WT,Gran Colombia Gold Corp. Wts,0.02,0.02,0.02,10041,0.01,,100
GCM.WT.A,Gran Colombia Gold Corp,0.17,0.15,0.15,112500,-0.01,,6.25
GCS.PR.A,Global Champions Split C,25.1,25.02,25.02,2700,-0.07,,0.28
GCT,Gvic Communications Corp. Class B,0.28,0.27,0.28,1561,-0.04,,12.5
GCT.C,Gvic Communications Corp. N.V.,0.34,0.34,0.34,1779,0.01,,3.03
GDC,Genesis Land J,4.79,4.72,4.79,2300,0.04,,0.84
GDG.UN,Global Dividend Growers,11,10.95,10.97,10350,-0.04,,0.36
GDL,Goodfellow Inc,9.24,9.23,9.24,650,0.18,,1.99
GDP.UN,Global Dividend Fund,4.67,4.63,4.63,1750,-0.04,,0.86
GDS,Gendis Inc,4,4,4,1181,0,,0
GEI,Gibson Energy Inc,34.69,33.89,34.32,334744,-0.22,,0.64
GEN,Genenews Limited,1.27,1.21,1.27,1746,-0.01,,0.78
GEO,Geodrill Limited,0.72,0.7,0.7,1500,-0.08,,10.26
GFS,Gasfrac Energy Services,1.1,1.02,1.04,41251,-0.06,,5.45
GFS.DB,Gasfrac Energy Services,71,60,71,37000,-0.25,,0.35
GGA,Goldgroup Mining Inc,0.17,0.17,0.17,18922,0,,0
GGD,Gogold Resources Inc,1.75,1.73,1.74,62296,0,,0
GGT.UN,Goodman Gold Trust,3.36,3.36,3.36,100,0.02,,0.6
GH,Gamehost Inc.,16.15,15.96,16.15,2605,0,,0
GH.DB,Gamehost Inc. 6.25 Pct Debs,151.7,150.9,150.9,48000,-2.8,,1.83
GIB.A,CGI Group Inc. Cl.A Sv,38.74,38.31,38.45,581781,0.22,,0.58
GIF.UN,Global Infrastructure Di,9.95,9.76,9.9,21084,-0.09,,0.9
GII.UN,Global Div Inv Gr. Incom,1.36,1.33,1.33,5641,-0.01,,0.75
GIL,Gildan Activewear Inc.,60.96,60.17,60.5,319668,-0.37,,0.61
GIX,Geologix Explorations In,0.06,0.06,0.06,105400,0.01,,20
GLG,Glg Life Tech Corporatio,0.35,0.35,0.35,1280,0,,0
GLN,Glentel Inc,10.46,10.26,10.46,4456,-0.01,,0.1
GLV.A,Groupe Laperriere,2.45,2.45,2.45,4000,0,,0
GLV.B,Groupe Laperriere & Verr,2.49,2.49,2.49,400,-0.19,,7.09
GMM.U,General Motors Company,33.82,33.62,33.8,1243,0.22,,0.66
GMO,General Moly Inc.,0.85,0.74,0.81,4300,-0.02,,2.41
GMP,Gmp Capital Inc.,7.2,7.13,7.18,5984,0.03,,0.42
GMP.PR.B,Gmp Capital Inc Series B,19.6,19.55,19.6,2865,0.05,,0.26
GMX,Globex Mining Enterprise,0.19,0.19,0.19,41799,0,,0
GPF.UN,Gold Participation and I,5.32,5.31,5.32,1502,0,,0
GPR,Great Panther Silver Lim,1.11,1.02,1.1,110397,0.09,,8.91
GQM,Golden Queen Mng J,1.32,1.25,1.32,40311,0.02,,1.54
GRT.UN,Granite Real Estate Inve,38.25,37.34,37.75,42094,-0.07,,0.19
GS,Gluskin Sheff Associat,29.71,29.05,29.44,34400,-0.03,,0.1
GSB.UN,Goldman Sachs US Income,8.81,8.8,8.8,11928,0,,0
GSC,Golden Star,0.44,0.43,0.44,32395,-0.01,,2.22
GTE,Gran Tierra Energy Inc.,5.83,5.6,5.62,805649,-0.15,,2.6
GTH,U.S. Geothermal Inc.,0.62,0.62,0.62,785,0.01,,1.64
GTU.U,Central Goldtrust,41.84,41.84,41.84,400,-0.75,,1.76
GTU.UN,Central Goldtrust,45.63,45.63,45.63,179,-0.17,,0.37
GTX,Gran Tierra Exchangeco I,5.68,5.67,5.67,732,-0.09,,1.56
GUD,Knight Therapeutics Inc,6.22,6.12,6.16,123703,-0.03,,0.48
GUY,Guyana Goldfields Inc,2.68,2.55,2.61,327477,0.09,,3.57
GVC,Glacier Media Inc,1.5,1.5,1.5,300,0,,0
GWO,Great-West Lifeco Inc,32.2,31.81,31.83,294414,-0.14,,0.44
GWO.PR.F,Great-West Lifeco Inc.,25.39,25.36,25.39,772,0.02,,0.08
GWO.PR.G,Great-West Lifeco Inc. P,25.1,25,25.05,2565,-0.03,,0.12
GWO.PR.H,Great-West Lifeco Inc.,23.7,23.64,23.69,2766,-0.01,,0.04
GWO.PR.I,Great-West Lifeco Inc.,22.42,22.42,22.42,500,-0.01,,0.04
GWO.PR.L,Great-West Lifeco Inc Pr,26.29,26.24,26.29,700,-0.07,,0.27
GWO.PR.M,Great West Lifeco Pref S,26.56,26.43,26.43,1483,0.02,,0.08
GWO.PR.N,Great West Lifeco Inc Pr,21.79,21.77,21.77,1920,-0.1,,0.46
GWO.PR.P,Great West Lifeco Inc 5.,25.56,25.55,25.56,700,0.03,,0.12
GWO.PR.Q,Great West Lifeco Pref S,25.1,25.01,25.01,8385,-0.06,,0.24
GWO.PR.R,Great West Lifeco Inc Se,23.66,23.62,23.62,4909,-0.01,,0.04
GWO.PR.S,Great West Lifeco Pref S,25.74,25.6,25.74,3700,0.14,,0.55
GWR,Gwr Global Water Resourc,5.25,5.23,5.23,917,-0.02,,0.38
GXE,Gear Energy Ltd,4.53,4.35,4.48,128588,0.06,,1.36
GXF,First Asset Dex Govt Bond Index,9.63,9.63,9.63,1168,0.06,,0.63
GXI,Guestlogix Inc.,1.04,1,1,35988,-0.04,,3.85
GZT,Gazit Globe Ltd,13.75,13.75,13.75,500,-0.19,,1.36
HAA,Horizons Balanced ETF,11.65,11.55,11.55,400,-0.1,,0.86
HAA.A,Horizons Active Balanced ETF,11.52,11.52,11.52,100,-0.03,,0.26
HAB,Horizons Active Corporat,10.77,10.74,10.77,14450,0.03,,0.28
HAB.A,Horizons Corp Bond ETF Adv,10.76,10.76,10.76,750,-0.04,,0.37
HAC,Horizons Seasonal Rotati,14.42,14.35,14.35,62244,-0.05,,0.35
HAC.A,Horizons Seasonal Rotati,14.16,14.16,14.16,200,-0.01,,0.07
HAD,Horizons Active CDN Bond,9.99,9.91,9.95,3936,0.06,,0.61
HAD.A,Horizons Active CDN Bond ETF Ad,9.9,9.9,9.9,100,0,,0
HAF,Horizons Active Yield Ma,8.41,8.3,8.41,915,0.05,,0.6
HAF.A,Horizons Act Yield Match,8.47,8.47,8.47,100,0,,0
HAJ,Horizons Active Emerging,12.24,12.24,12.24,1169,0.12,,0.99
HAJ.A,Horizons Active Emrg Mkt,11.95,11.95,11.95,100,-0.18,,1.48
HAL,Horizons Active CDN Divi,14.62,14.56,14.56,32432,0.25,,1.75
HAL.A,Horizons Active CDN Divi,14.56,14.24,14.25,6115,-0.36,,2.46
HAX,Horizons Active Sp TSX 6,10.47,10.47,10.47,480,-0.05,,0.48
HAY.UN,Stone Agribusiness Fund,6.77,6.72,6.72,2300,-0.11,,1.61
HAZ,Horizons Active Global D,15.95,15.78,15.79,7379,-0.16,,1
HAZ.A,Horizons Active Global D,15.55,15.55,15.55,901,-0.49,,3.05
HBB,Horizons CDN Select Univ,41.03,40.97,41.03,1759,0.03,,0.07
HBC,Hudsons Bay Company,17.9,17.79,17.88,90531,0.1,,0.56
HBD,Horizons Betapro Comex G,20.09,19.7,19.7,7049,-0.53,,2.62
HBF.UN,Brand Leaders Plus Incom,9.51,9.08,9.11,3700,-0.04,,0.44
HBL.UN,Brand Leaders Income Fun,12.28,12.15,12.15,3684,-0.05,,0.41
HBM,Hudbay Minerals Inc.,9.34,9.06,9.16,466216,-0.01,,0.11
HBM.WT,Hudbay Minerals Inc Wts,1.05,0.94,1,26945,-0.05,,4.76
HBP,Helix Biopharm,1.76,1.5,1.5,10100,-0.35,,18.92
HBR,Horizons Auspice Broad Commodit,8.76,8.76,8.76,228,-0.11,,1.24
HBU,Horizons Betapro Comex G,9.37,9.18,9.37,4220,0.27,,2.97
HCG,Home Capital Group Inc.,50.4,49.81,50.1,298881,0.43,,0.87
HCI,Hartco Inc.,3.13,2.8,3,8300,-0.15,,4.76
HDX,Posera Hdx Inc,0.31,0.3,0.31,26500,-0.01,,3.13
HE,Hanwei Energy Services C,0.2,0.2,0.2,75500,0,,0
HEA,Horizons Enhd Income US,13.06,13.06,13.06,196,0.36,,2.83
HEA.A,Horizons Enhd Inc US Equ,12.93,12.93,12.93,800,0.01,,0.08
HEA.U,Horizons Enhd Income US,11.61,11.6,11.6,868,0.01,,0.09
HED,Horizons BP Sp TSX Energ,11.55,11.29,11.55,8395,0.17,,1.49
HEE,Horizons Enhanced Income,5.64,5.56,5.59,7006,-0.02,,0.36
HEE.A,Horizons Enhd Income Ene,5.69,5.69,5.69,2896,-0.14,,2.4
HEF,Horizons Enhanced Income,9.2,9.17,9.17,1190,0.17,,1.89
HEF.A,Horizons Enhd Income Financial ETF Adv,9.3,9.3,9.3,172,0.09,,0.98
HEJ,Horizons Enhd Inc Intl E,8.21,8.13,8.21,5256,0.05,,0.61
HEJ.A,Horizons Enhd Inc Intl E,8.16,8.13,8.16,1474,-0.47,,5.45
HEN.UN,Energy Leaders Income Fd,11.55,11.29,11.55,2300,0.19,,1.67
HEP,Horizons Enhanced Income,5.12,5.05,5.12,21995,0.1,,1.99
HEP.A,Horizons Enhd Income Gol,5.07,4.83,4.83,800,-0.28,,5.48
HER,Heron Resources Limited,0.15,0.14,0.14,130607,-0.01,,6.67
HEU,Horizons Betapro S&P/Tsx,6.52,6.4,6.42,66700,-0.08,,1.23
HEW,Horizons Sp/Tsx 60 Equal,12.44,12.35,12.39,2579,0.02,,0.16
HEX,Horizons Enhanced Income,7.33,7.27,7.27,7253,-0.01,,0.14
HEX.A,Horizons Enhd Income Equ,7.37,7.33,7.37,1798,-0.03,,0.41
HFD,Horizons BP Sp TSX Cap F,11.25,11.07,11.25,6990,0.01,,0.09
HFP,Horizons Active Flt Rate,10.19,10.18,10.19,4754,0,,0
HFR,Horizons Active Floating,10.18,10.15,10.15,106698,0,,0
HFR.A,Horizons Active Floating,10.16,10.16,10.16,1710,-0.03,,0.29
HFU,Horizons Betapro S&P/Tsx,24.8,24.4,24.45,8455,0.08,,0.33
HGD,Horizons BP Gold Bear Pl,16.83,16.1,16.41,769029,-0.29,,1.74
HGI.UN,Global Adv Telecom Utili,10.31,10.25,10.25,1000,-0.35,,3.3
HGN,Halogen Software Inc,9.5,9.25,9.25,6900,-0.25,,2.63
HGU,Horizons BP Sp TSX Globa,6.92,6.71,6.86,1053210,0.1,,1.48
HGY,Horizons Gold Yield ETF,6.01,5.97,6,9343,0.07,,1.18
HHF,Horizons Morningstar Hdg,12.64,12.6,12.6,757,0.01,,0.08
HHF.A,Horizons Morningstar Hdg,12.6,12.6,12.6,200,0.13,,1.04
HHY.UN,High Rock CDN High Yield,9,9,9,199,-0.01,,0.11
HIU,Horizons Betapro Sp 500,4.46,4.39,4.44,34939,-0.01,,0.22
HIX,Horizons Betapro S&P/Tsx,8.15,8.04,8.14,74121,0.03,,0.37
HJD,Horizon Betapro MSCI EM,5.59,5.46,5.46,700,-0.18,,3.19
HJU,Horizon Betapro MSCI EM,10.64,10.59,10.64,2279,0.53,,5.24
HLC,Holloway Lodging Corpora,6.12,5.9,6,7742,-0.03,,0.5
HLC.DB,Holloway Lodging Corp 6.,93,93,93,7000,-0.5,,0.53
HLC.DB.A,Holloway Lodging Corp 7.,98,98,98,55000,0,,0
HLC.DB.B,Holloway Lodging Corp 6.,94.5,94.49,94.5,12000,0,,0
HLF,High Liner,20.85,19.73,20.1,36519,-0.79,,3.78
HLP.DB,Healthlease Properties 5,109.2,105,109,157000,-0.2,,0.15
HLP.UN,Healthlease Properties R,14.12,14.09,14.1,72098,-0.02,,0.14
HMD,Horizons BP Global Base,4.23,4.19,4.19,750,-0.08,,1.87
