Date,Open,High,Low,Close,Volume,Adj Close
2014-05-13,3.13,3.21,3.13,3.20,58800,3.20
2014-05-12,3.10,3.18,3.10,3.12,14600,3.12
2014-05-09,3.06,3.12,3.05,3.11,22500,3.11
2014-05-08,3.10,3.10,3.02,3.06,57700,3.06
2014-05-07,3.15,3.15,3.11,3.11,37000,3.11
2014-05-06,3.11,3.21,3.10,3.11,96600,3.11
2014-05-05,3.05,3.13,3.05,3.10,132700,3.10
2014-05-02,3.10,3.10,2.99,2.99,635600,2.99
2014-05-01,3.09,3.17,3.09,3.17,466500,3.17
2014-04-30,3.10,3.14,3.07,3.12,911800,3.12
2014-04-29,3.15,3.20,3.11,3.15,528100,3.15
2014-04-28,3.31,3.39,3.20,3.21,317000,3.21
2014-04-25,3.30,3.37,3.30,3.37,530300,3.37
2014-04-24,3.24,3.35,3.21,3.34,222300,3.34
2014-04-23,3.19,3.22,3.07,3.19,934300,3.19
2014-04-22,3.21,3.21,3.18,3.18,235700,3.18
2014-04-21,3.26,3.26,3.20,3.20,121800,3.20
2014-04-17,3.24,3.30,3.24,3.30,15400,3.30
2014-04-16,3.15,3.30,3.15,3.29,103000,3.29
2014-04-15,3.32,3.32,3.20,3.23,1232100,3.23
2014-04-14,3.42,3.43,3.35,3.37,172600,3.37
2014-04-11,3.47,3.50,3.40,3.46,330500,3.46
2014-04-10,3.45,3.50,3.42,3.49,588500,3.49
2014-04-09,3.43,3.45,3.38,3.45,339500,3.45
2014-04-08,3.41,3.46,3.36,3.44,135100,3.44
2014-04-07,3.41,3.46,3.36,3.42,50700,3.42
2014-04-04,3.46,3.50,3.44,3.46,474200,3.46
2014-04-03,3.47,3.50,3.38,3.46,119000,3.46
2014-04-02,3.50,3.50,3.45,3.49,1046500,3.49
2014-04-01,3.42,3.53,3.37,3.48,107700,3.48
2014-03-31,3.45,3.60,3.41,3.43,251500,3.43
2014-03-28,3.39,3.45,3.38,3.45,271500,3.45
2014-03-27,3.33,3.36,3.30,3.35,73700,3.35
2014-03-26,3.30,3.43,3.30,3.34,181600,3.34
2014-03-25,3.33,3.41,3.31,3.41,324600,3.41
2014-03-24,3.27,3.40,3.25,3.34,345500,3.34
2014-03-21,3.30,3.32,3.30,3.31,152500,3.31
2014-03-20,3.30,3.33,3.30,3.32,166100,3.32
2014-03-19,3.36,3.36,3.28,3.30,910700,3.30
2014-03-18,3.21,3.35,3.21,3.34,750500,3.34
2014-03-17,3.24,3.28,3.24,3.26,138000,3.26
2014-03-14,3.26,3.28,3.20,3.27,113100,3.27
2014-03-13,3.22,3.28,3.12,3.27,250400,3.27
2014-03-12,3.20,3.26,3.14,3.21,327600,3.21
2014-03-11,3.25,3.29,3.15,3.26,256500,3.26
2014-03-10,3.37,3.37,3.16,3.29,194600,3.29
2014-03-07,3.39,3.41,3.25,3.40,740200,3.40
2014-03-06,3.31,3.40,3.30,3.36,250900,3.36
2014-03-05,3.30,3.41,3.24,3.33,655000,3.33
2014-03-04,3.28,3.37,3.24,3.30,544000,3.30
2014-03-03,3.42,3.48,3.27,3.32,600300,3.32
2014-02-28,3.41,3.48,3.41,3.46,232000,3.46
2014-02-27,3.45,3.55,3.40,3.46,1861000,3.46
2014-02-26,3.40,3.59,3.40,3.50,1823100,3.50
